evn	rus
4.:	линия
:	брак
:	жар
?	вырвать
?е̄	горизонт
Арктика	Арктика
Долбогида	Арктика
Рождество	Рождество
Солдон	Венера
Тыманӣ тыпкэ̄нин	Венера
Хо̄лбан	Марс
Хула̄ндэ	Марс
Хэвлун	Большая Медведица
Хэглэн	Большая Медведица
Чолбон	Венера
Эглун	Большая Медведица
а̄! а̄! а̄!	стой! 
а̄-	 
а̄-	спать
а̄-мӣ	поспать
а̄-мӣ	выспаться
а̄вала̄ка̄н	олень
а̄вка̄ндерӣ	снотворный
а̄г-мӣ	пристать
а̄г-мӣ	причалить
а̄г-мӣ	высадиться
а̄где-мӣ	заезжать
а̄где-мӣ	приставать
а̄где-мӣ	причаливать
а̄где-мӣ	высаживаться
а̄ги	пристань
а̄гив-мӣ	прибить
а̄гив-мӣ	выбросить
а̄гивде-мӣ	прибивать
а̄гиврэн	выбросить
а̄гиврэн	прибить
а̄гивча̄	выброшенный
а̄гивэ	пристань
а̄гкӣт	причал
а̄грэн	высадиться
а̄грэн	пристать
а̄грэн	причалить
а̄гэн	брусок
а̄гэн	точило
а̄де-мӣ	спать
а̄дерӣ	спящий
а̄дрес	адрес
а̄дреснэй	адресный
а̄дресты	адресный
а̄дресуйде-мӣ	адресовать
а̄к-мӣ	пристать
а̄к-мӣ	причалить
а̄к-мӣ	высадиться
а̄кив-мӣ	прибить
а̄кивде-мӣ	прибивать
а̄кивча̄	выброшенный
а̄ккӣт	пристань
а̄ккӣтвэ	пристань
а̄кча-мӣ	высаживаться
а̄кчэ-мӣ	приставать
а̄кчэ-мӣ	причаливать
а̄кӣт	койка
а̄кӣт	кровать
а̄кӣт	спальня
а̄ллэ	нёбо
а̄ллэ	череп
а̄мая	поскорее
а̄мие а̄чин	бессонный
а̄мкин	койка
а̄мкин	кровать
а̄мкин	нары
а̄мкинмэ	кровать
а̄мут	озеро
а̄мэ	заспанный
а̄мэды̄	сонный
а̄мэкту	сонный
а̄мӣ	сон
а̄мӣ	спячка
а̄нӈэ	бивак
а̄нӈэ	ночлег
а̄нӈэ	ночёвка
а̄нӈэ	привал
а̄нӈэ	становище
а̄нӈэ	стоянка
а̄нӈэкӣт	приют
а̄нӈэт-мӣ	заночевать
а̄нӈэт-мӣ	переночевать
а̄нӈэт-мӣ	располагаться
а̄нӈэтчэ-мӣ	ночевать
а̄нӈэчивка̄н-мӣ	приютить
а̄сие а̄чин	бобыль
а̄сиктэ	заспанный
а̄силтанэ	вечером
а̄син-мӣ	заснуть
а̄син-мӣ	прилечь
а̄син-мӣ	уснуть
а̄синде-мӣ	засыпа́ть
а̄синмука̄н-мӣ	усыпить
а̄синмука̄нде-мӣ	усыплять
а̄синэн	уснуть
а̄тырка̄ча̄н	старушка
а̄тэ	старушка
а̄тэ	хозяйка
а̄хилта̄нэ	поздно
а̄чин	без
а̄чин	нет
а̄чин	отсутствие
а̄чин би-мӣ	отсутствовать
а̄чин бидерӣ	отсутствующий
а̄чин о̄-мӣ	вывестись
а̄чин о̄-мӣ	скончаться
а̄чин о̄дя-мӣ	рассеиваться
а̄чин о̄ран	вывестись
а̄чинмэ	без
а̄чинӈи-мӣ	аннулировать
а̄чинӈивдя-мӣ	ликвидироваться
а̄чинӈиде-мӣ	выводить
а̄чинӈидя-мӣ	опустошать
а̄чинӈӣ-мӣ	вывести
а̄чинӈӣ-мӣ	изжить
а̄чинӈӣ-мӣ	изъять
а̄чинӈӣ-мӣ	искоренить
а̄чинӈӣ-мӣ	истребить
а̄чинӈӣ-мӣ	разрушить
а̄чинӈӣ-мӣ	уничтожить
а̄чинӈӣ-мӣ	упразднить
а̄чинӈӣ-мӣ	устранить
а̄чинӈӣв-мӣ	исчезнуть
а̄чинӈӣвде-мӣ	исчезать
а̄чинӈӣвча̄	ликвидированный
а̄чинӈӣвча̄вэ	ликвидированный
а̄чинӈӣде-мӣ	изживать
а̄чинӈӣде-мӣ	искоренять
а̄чинӈӣде-мӣ	истреблять
а̄чинӈӣде-мӣ	разрушать
а̄чинӈӣдя-мӣ	ликвидировать
а̄чинӈӣдярӣ	ликвидационный
а̄чинӈӣмнӣ	истребитель
а̄чинӈӣн	искоренение
а̄чинӈӣн	истребление
а̄чинӈӣн	ликвидация
а̄чинӈӣн	разрушение
а̄чинӈӣрэн	аннулировать
а̄чинӈӣрэн	вывести
а̄чинӈӣрэн	искоренить
а̄ӈнэды̄	сонливый
а̄ӈрэка̄н	вороной
абасӣ	чёрт
абахычадя-мӣ	презирать
абгара̄	здоров
абгу-мӣ	пожелтеть
абданна	лист
абдон	лист
абду	имущество
абдун	берлога
абдун	логовище
абул	недостаток
абул	нехватка
абул-мӣ	иссякнуть
абул-мӣ	осунуться
абулдя-мӣ	недоставать
абулдярӣ	дефицитный
абуликачин	минус
абулин	голод
абулин	дефект
абулин	дефицит
абулин	недостаток
абулин	нехватка
абулин	порок
абулин	пробел
абулин	пропуск
абулта	дефект
абулту	пробел
абулӣв-мӣ	израсходовать
ав-мӣ	почистить
ав-мӣ	промыть
ав-мӣ	вы́купать
ав-мӣ	вымыть
ав-мӣ	вымыться
ав-мӣ	вытереть
ав-мӣ	искупать
ав-мӣ	намокнуть
ав-мӣ	обмыть
ав-мӣ	обтереть
ав-мӣ	омыть
ав-мӣ	отмыть
ав-мӣ	смыть
ав-мӣ	умыть
ав-мӣ	умыться
авады	какой
авады-вал	какой-нибудь
авады-вал	некий
авады-да̄	никакой
авадытыкин	разный
авам	широкий
авву	какой
авгара̄	здоров
авгара̄	здоровый
авгара̄	здоровье
авгара̄-мӣ	заживать
авгара̄-мӣ	зажить
авгара̄-мӣ	зарубцеваться
авгара̄-мӣ	затянуться
авгара̄-мӣ	поправиться
авгара̄-мӣ	выздороветь
авгара̄-мӣ	вылечиться
авгара̄-мӣ	срастись
авгара̄вэ одёкӣт	здравоохранение
авгара̄де-мӣ	затягиваться
авгара̄де-мӣ	выздоравливать
авгара̄де-мӣ	вылечиваться
авгара̄де-мӣ	излечиваться
авгара̄де-мӣ	исцеляться
авгара̄дерӣ	излечимый
авгара̄дярӣ	выздоравливающий
авгара̄кӣт	здравница
авгара̄кӣт	диспансер
авгара̄кӣт	курорт
авгара̄кӣт	санаторий
авгара̄рэн	выздороветь
авгара̄рэн	вылечиться
авгара̄рэн	заживать
авгара̄рэн	срастись
авгара̄т биде-мӣ	здравствовать
авгара̄т бикэл!	здравствуй!
авгара̄ча̄	выздоровевший
авгара̄ча̄вэ	выздоровевший
авгаран	излечение
авгаран	оздоровление
авгарат бикэл!	прощай!
авгарат бикэллу!	прощайте!
авгит	откуда
авгит-та̄	ниоткуда
авгу	который
авгун-мӣ	завянуть
авгун-мӣ	поблёкнуть
авгун-мӣ	пожелтеть
август	август
авданна	лист
авданнака̄н	лепесток
авданнака̄нмэ	лепесток
авданнал	листва
авданначӣ	лиственный
авду	имущество
авду	скот
авду	стадо
авдука̄н	гнездо
авдука̄н	норка
авдулва дявучан	скотоводство
авдун	берлога
авдун	логовище
авдун	нора
авдун амиган	вход
авдура̄	богатый
авдуча̄н	телёнок
авдуча̄р	скот
авдуча̄рвэ иргӣтчэрӣ	животноводческий
авдуча̄рвэ иргӣчин	животноводство
авдуча̄рвэ тэпукӣт	бойня
авдучан	корова
авдучӣ	кулак
авдя-ми	мыть
авдя-ми	мыться
авдя-мӣ	полоскать
авдя-мӣ	промывать
авдя-мӣ	вытирать
авдя-мӣ	купать
авдя-мӣ	намокать
авдя-мӣ	обмывать
авдя-мӣ	обтирать
авдя-мӣ	омывать
авдя-мӣ	отмывать
авдя-мӣ	умывать
авдя-мӣ	умываться
авиация	авиация
авикта	мозоль
авиктача	мозолистый
авкӣт	переезд
авкӣт	баня
авла̄де-мӣ	надевать
авла̄де-мӣ	носить
авла̄ка̄н	лужайка
авла̄ка̄нмэ	лужайка
авла̄н	луг
авла̄н	поле
авла̄н	степь
авла̄н биде-мӣ	носить
авлӣдя-мӣ	вытирать
авлӣн-мӣ	вытереть
авса	гроб
авса	ларь
авса	сундук
авса	ящик
авсака̄н	клетка
авсака̄н	шкатулка
автобус	автобус
автобуснай	автобусный
автобусты	автобусный
автома̄т	автомат
автоматическай	автоматический
автомобилил	автомобиль
автомобиль	автомобиль
автомобильнай	автомобильный
автоно̄мнай	автономный
автор	автор
авторды	авторский
авторитет	авторитет
авторитетнай	авторитетный
авторитетыл	авторитет
авторитетычӣ	авторитетный
авторскай	авторский
авторӈи	авторский
авӯн	папаха
авувча	мытый
авувча̄	вымытый
авувча̄	умытый
авувча̄вэ	вымытый
авувча̄вэ	умытый
авувчавэ	мытый
авувӯн	умывальник
авул-мӣ	вздуться
авул-мӣ	вспухнуть
авул-мӣ	опухнуть
авул-мӣ	распухнуть
авулде-мӣ	распухать
авулдя-мӣ	пухнуть
авулдя-мӣ	опухать
авулдя-мӣ	отекать
авулча̄	опухший
авун	опухоль
авунихин-мӣ	скучать
авуптын	мочалка
авуптын	полотенце
авуптын	стружка
авус	шурин
авӯн	картуз
авӯн	фуражка
авӯн	шапка
авӯн	шляпа
аг	пузырь
ага	игольница
ага	футляр
агалдя-мӣ	сопротивляться
агалӣдя-мӣ	противодействовать
агдун	логовище
агды	гроза
агды	гром
агдыдя-мӣ	греметь
агдыдя-мӣ	громыхать
агдыдяран	раскат
агдычӣ	грозовой
агент	агент
агентство	агентство
агентыл	агент
аги	поле
аги-буга	родина
агикта-мӣ	завернуть
агикта-мӣ	заехать
агикта-мӣ	исколесить
агикта-мӣ	осмотреть
агиктадя-мӣ	бродить
агиктадя-мӣ	исходить
агиктадя-мӣ	осматривать
агиктадя-мӣ	останавливаться
агилдя-мӣ	завёртывать
агилдя-мӣ	сворачивать
агилӣв-мӣ	обвести
агитатор	агитатор
агитационнай	агитационный
агитация	агитация
агитацияды	агитационный
агитбригада	агитбригада
агитируӣдя-мӣ	агитировать
агитка	волк
агиткал-мӣ	заворачивать
агиткан	осмотр
агла̄ды	степной
агла̄н	лесок
агла̄н	луг
агла̄н	поле
агла̄н	поляна
агла̄н	степь
агла̄н	чистый
агла̄нмэ	поле
агла̄нмэ	степь
агла̄са̄г	поляна
аграрнэил	аграрный
аграрнэй	аграрный
агрессор	агрессор
агрессӣвнаил	агрессивный
агрессӣвнай	агрессивный
агроном	агроном
агрономия	агрономия
агӣ	лес
агӣ	тайга
агӣды	таёжный
агӣктадя-мӣ	колесить
агӣктадя-мӣ	обходить
агӣл-мӣ	объехать
агӣл-мӣ	свернуть
агӣлак	волк
агӣлан	объезд
агӣлдя-мӣ	объезжать
агӣлдя-мӣ	огибать
агӣлка̄н	волк
агӣлка̄н	росомаха
агӣткадя-мӣ	выискивать
агӯл-мӣ	наскучить
ада-мӣ	подвинуться
адага-мӣ	отодвинуться
адага̄-мӣ	отклониться
адага̄-мӣ	увернуться
адага̄дя-мӣ	увёртываться
адага̄рэн	отклониться
адагадя-ми	балансировать
адан-мӣ	пожелтеть
адандя-мӣ	зеленеть
адарга	вилка
аде-мӣ	пролететь
адирга	жеребец
администратор	администратор
администратӣвнаил	административный
администратӣвнай	административный
администрация	администрация
адреснэил	адресный
адтресат	адресат
адувка̄мэ	удивительный
адувка̄н-мӣ	удивить
адувка̄нде-мӣ	удивлять
адугун	табун
адула̄де-мӣ	всматриваться
адула̄де-мӣ	любоваться
адула̄де-мӣ	смотреть
ады-да̄	нисколько
ады̄	сколько
ады̄дӯ	почём
ады̄ка̄н угӣкэ̄н	мало
ады̄кӯка̄н	малейший
ады̄лла-мӣ	уменьшить
ады̄ра̄-да	неоднократно
ады̄ра̄ка̄н	обыкновенно
ады̄ра̄ка̄н	частый
ады̄т	насколько
ады̄тмар о̄-мӣ	уменьшиться
ады̄ӈ-мӣ	понизить
ады̄ӈ-мӣ	снизить
ады̄ӈ-мӣ	сократить
ады̄ӈ-мӣ	уменьшить
ады̄ӈдя-мӣ	понижать
ады̄ӈдя-мӣ	снижать
ады̄ӈдя-мӣ	сокращать
ады̄ӈдя-мӣ	умалять
ады̄ӈӣв-мӣ	снизиться
ады̄ӈӣв-мӣ	убыть
ады̄ӈӣвдя-мӣ	снижаться
ады̄ӈӣвдярӣ	уменьшаемое
ады̄ӈӣвун	убыль
ады̄ӈӣвча̄	уменьшившийся
ады̄ӈӣвча̄вэ	уменьшившийся
ады̄ӈӣн	уменьшение
адыка̄кӯн	маловато
адыка̄кӯн	немножко
адыка̄н	малолетний
адыка̄н	меньшинство
адыка̄н	немного
адыка̄н	несколько
адыка̄н	ничтожный
адыка̄н алагӯвча̄	малограмотный
адыка̄н бэечӣ	малолюдный
адыка̄н дяличӣ	слабоумный
адыка̄н илэчӣ	малолюдный
адыка̄н илэчӣ	малонаселённый
адыка̄н мэ̄ндыкэ̄чӣ	малоимущий
адыка̄н тамачӣ	малоценный
адыка̄н татыга̄вувча̄	необразованный
адыка̄н татыга̄вча̄	малограмотный
адыка̄н таӈучӣ	малочисленный
адыка̄н турукэдэ̄вчэ̄	малосольный
адыка̄н тыливгэ̄чӣ	малопонятный
адыка̄н эӈэсӣчӣ	маломощный
адыка̄н эӈэсӣчӣ	малосильный
адыка̄н ӈэ̄лэде-мӣ	побаиваться
адыка̄нмэ	меньшинство
адыка̄нмэ	немного
адыка̄нмэ	несколько
адыка̄нмэ	ничтожный
адыка̄нмэ са̄дерӣ	малосведущий
адыкакун	минимум
адыкакунмэмэ	минимальный
адыкандыгу	минимальный
адыкун	немного
адыкӯн тамачӣ	доступный
адыл	паутина
адыл	сеть
адылдя-мӣ	ловить
адылитча-мӣ	ловить
адылиӈ-мӣ	оценить
адылладу-вал	временно
адылладӯ-вал	единовременный
адыллака̄н	кратковременный
адыллака̄нду	краткосрочный
адыллапты	временный
адыллапты	перемирие
адыра̄ка̄н	зачастую
адыра̄ка̄н	изредка
адыра̄ка̄н	нередкий
адыра̄ка̄н	нередко
адыра̄ка̄н	редко
адырка̄ка̄ндымар:	чаще
адыта̄нэ	всевозможный
адытмар	меньше
адытмар	меньший
адытмар	наименее
адытмар	поменьше
адыӈ-мӣ	скинуть
адыӈ-мӣ	урезать
адыӈӣвдя-мӣ	падать
адюркай дёло	кремень
ае̄-мӣ	затянуться
аза̄ртнэил	азартный
азарт	азарт
азартнэй	азартный
азбука	азбука
азияды	азиатский
аӣв-мӣ	пресытиться
аӣлун	промышленник
аӣт-мӣ	залечить
аӣтча-мӣ	поправлять
аив	сытый
аив-мӣ	наесться
аивувчан	сытый
аикан	лодышка
аит-мӣ	добыть
аичивун	микстура
ай-мӣ	помочь
ай-мӣ	пощадить
ай-мӣ	предотвратить
ай-мӣ	выручить
ай-мӣ	выходить
ай-мӣ	добыть
ай-мӣ	избавить
ай-мӣ	избавиться
ай-мӣ	избежать
ай-мӣ	спасти
айдадя-мӣ	шуметь
айдар	кабан
айдар	шум
айдя-мӣ	выручать
айдя-мӣ	избавлять
айдя-мӣ	спасать
аймак	сородич
ака̄	брат
ака̄вэ	брат
академия	академия
акай	брат
акари	глупый
акари	плавник
акарӣ	дурак
акарӣ	дурацкий
акарӣдя-мӣ	дурить
акварель	акварель
акга̄л	утварь
аккумулятор	аккумулятор
аккура̄тность	аккуратность
аккура̄тнэй	аккуратный
акнӣды	братский
акнӣл	брат
акса̄тча-мӣ	ненавидеть
акса̄тчэ-мӣ	злиться
акса̄чӣвде-мӣ	злить
аксавка̄н-мӣ	досадить
аксавка̄н-мӣ	рассердить
аксадя-мӣ	дуться
аксалдыдя-мӣ	ссориться
аксама̄чин	несогласие
аксама̄чин	скандал
аксатча-мӣ	презирать
аксача̄	сердитый
акта	олень
акта мурин	мерин
актадя-мӣ	кастрировать
актакӣ	бык
актакӣ	олень
актив	актив
актуа̄льнэй	актуальный
актымама	вредный
актымама	презрительный
актымама	худой
актыра̄риллэн	сумерки
актыссадя-мӣ	презирать
актёр	актёр
актӣвнаил	активный
актӣвнай	активный
акула	акула
акушерка	акушерка
акчин	пинок
акчудя-мӣ	тосковать
акчудя-мӣ	тянуться
акӣка̄н	брат
акӣн	брат
акӣн	дядя
акӣн	старший
акӣндыгӯ	старший
акӯнасал	братство
ала	вкусно
ала	лакомый
ала	лямка
ала	милый
ала	приятный
ала	сладкий
ала̄ктэл!	постой!
ала̄нчэде-мӣ	ласкать
ала̄нчэде-мӣ	ласкаться
ала̄нчэденэ	нежно
ала̄нчэды	ласкательный
ала̄нчэн	ласка
ала̄т-мӣ	переждать
ала̄т-мӣ	повременить
ала̄т-мӣ	погодить
ала̄т-мӣ	выждать
ала̄т-мӣ	дождаться
ала̄т-мӣ	обождать
ала̄тмэлчэ-мӣ	подождать
ала̄ттэн	выждать
ала̄ттэн	дождаться
ала̄ттэн	переждать
ала̄ттэн	повременить
ала̄ттэн	погодить
ала̄тчэ-мӣ	поджидать
ала̄тчэ-мӣ	выжидать
ала̄тчэ-мӣ	дожидаться
ала̄тчэ-мӣ	ждать
ала̄тчэ-мӣ	ожидать
ала̄тэн	обождать
ала̄чин	ожидание
алавӯвкӣт	училище
алавӯвкӣт	школа
алаг	важенка
алаг	гнедой
алаг	лямка
алаг	олень
алаг	пегий
алаг	пятнистый
алаг	пёстрый
алагдыл	сласти
алагӣ-мӣ	запрячь
алагивча̄л мурир	упряжка
алагидя-мӣ	запрягать
алагил	упряжь
алагу-мӣ	затвердить
алагӯ-мӣ	приучить
алагӯв-мӣ	приучиться
алагӯв-мӣ	пройти
алагӯвдя-мӣ	заниматься
алагӯвдя-мӣ	приучаться
алагӯдя-мӣ	заучивать
алагӯдя-мӣ	поучать
алагӯдя-мӣ	преподавать
алагӯдя-мӣ	приучать
алагӯмнӣ	преподаватель
алагувувча	интеллигент
алагувувча	интеллигентный
алагувӯлды̄мниӣ	коллега
алагумнӣ	педагог
алагун	внушение
алагун	занятие
алагун	изучение
алагӣ-мӣ	впрячь
алагӣдя-мӣ	впрягать
алагӣдя-мӣ	впрягаться
алагӣлга-мӣ	выпрячь
алагӣлга-мӣ	распрячь
алагӣлгадя-мӣ	выпрягать
алагӣлгадя-мӣ	отпрягать
алагӣлгадя-мӣ	распрягать
алагӯ-мӣ	выучить
алагӯ-мӣ	научить
алагӯ-мӣ	обучить
алагӯ-мӣ	усвоить
алагӯв-мӣ	выучиться
алагӯв-мӣ	научиться
алагӯв-мӣ	разучить
алагӯвдя-мӣ	изучить
алагӯвдя-мӣ	разучивать
алагӯвдя-мӣ	учиться
алагӯвдярӣ	учащийся
алагӯвкӣт	училище
алагӯвкӣт	школа
алагӯвкӣтты	школьный
алагӯвумнӣ	ученик
алагӯвумнӣ	школьник
алагӯвча	грамотный
алагӯвча̄вэ	грамотный
алагӯдя-мӣ	обучать
алагӯдя-мӣ	указывать
алагӯдя-мӣ	учить
алагӯмнӣ	учитель
алагӯн	грамотность
алагӯн	наука
алагӯн	обучение
алагӯн	урок
алагӯн	учение
алагӯрӣ	грамота
алагӯрӣ	нравоучение
алади	лепёшка
алакан	миленький
алаке̄	сладко
алакӣт	перевал
алакӣт	переезд
алакӣт	переправа
алала̄-мӣ	запрячь
алала̄де-мӣ	запрягать
алалалга-мӣ	выпрячь
алама̄-мӣ	передразнить
алама̄де-мӣ	передразнивать
алама̄де-мӣ	повторять
алама̄де-мӣ	подпевать
алама̄де-мӣ	подражать
алама̄де-мӣ	изображать
алама̄н	подражание
алама̄ндын	повторение
алама̄рэн	передразнить
аламадя-мӣ	гримасничать
аламадя-мӣ	дразнить
аламан	гримаса
аламан	имитация
алан	палка
алан-мӣ	перевалить
алан-мӣ	переехать
алан-мӣ	переправиться
аландя-мӣ	переезжать
аланчи-мӣ	погладить
аланчи-мӣ	приласкать
алапчу	вкусно
алапчу	вкусный
алапчу	приятный
алапчу	сладкий
алапчу силэ	компот
алас	бедро
алас	голень
алас	кость
алас	прогалина
алахи	сладкий
алачивканде-мӣ	задерживать
алаӈа̄	лук
алаӈандя	лук
албавкӣ авдудӯ нуӈнӣдеми	бесхозяйственный
албахичӣ	ловкий
албахичӣ	хитрый
албе-мӣ	вдёрнуть
албигӯр-мӣ	расширить
албигӯрдя-мӣ	расширять
албигӯрӣн	расширение
албин	обширный
албин	простор
албин	раздолье
албин	размер
албин	ширина
албин	ширь
албин аркачӣ	плечистый
албин дэлэй	широкий
албинка̄кун	необъятный
албинтыкӣ	вширь
албинӈи-мӣ	развернуть
албинӈӣ-мӣ	расширить
албудя-мӣ	голодать
албӣгӯрӣвча̄	увеличенный
албӣгӯрӣвча̄вэ	увеличенный
алга	невод
алгакса	лыко
алган	переезд
алгаха-мӣ	ошибаться
алгебра	алгебра
алгебраӣческай	алгебраический
алдан	бедро
алдатча-мӣ	разрушать
алды-мӣ	выстругать
алды-мӣ	обтесать
алдыдя-мӣ	плотничать
алдыдя-мӣ	обтёсывать
алдыдя-мӣ	строгать
алдыдя-мӣ	тесать
алдымнӣ	плотник
алдымнӣ	столяр
алдын-мӣ	вязнуть
алдысамна	стружка
алдят-мӣ	разрушить
алерсун	брусника
али-мӣ	подставить
али-мӣ	похвастаться
алӣв-мӣ	поручить
алӣвдя-мӣ	поручать
алӣвӯн	поручение
алӣвувдя-мӣ	передаваться
алив-мӣ	передавать
алив-мӣ	передать
аливун	передача
алига	бутылка
алигда	недавно
алидя-мӣ	подставлять
алиментыл	алименты
алки-мӣ	кивнуть
алки-мӣ	махнуть
алкидя-мӣ	кивать
алкин	кивок
алкоголизма	алкоголизм
алкоголик	алкоголик
алкоголь	алкоголь
аллея	аллея
алмаз	алмаз
алмат	послед
алнӈанӣл	лета
алта̄тча-мӣ	умолять
алтайды	алтайский
алтайскай	алтайский
алтама	золотой
алтама	медный
алтамака̄н	золотистый
алтан	золото
алтан	медь
алтат-мӣ	предупредить
алтат-мӣ	взмолиться
алтат-мӣ	отговорить
алтат-мӣ	уговорить
алтат-мӣ	умолить
алтат-мӣ	упросить
алтат-мӣ	успокоить
алтатча-мӣ	предупреждать
алтатча-мӣ	отговаривать
алтатча-мӣ	упрашивать
алтачин	уговор
алтачӣ	медный
алтыдя-мӣ	отворачиваться
алтын-мӣ	отвернуться
алтысса-мӣ	отшатнуться
алтыссадя-мӣ	питать
алуг	смородина
алфавит	алфавит
алфавитты	алфавитный
алчанча-мӣ	раздвинуть
альбом	альбом
альпинист	альпинист
алюминий	алюминий
алӣ-мӣ	досадить
алӣв-мӣ	вручить
алӣвде-мӣ	вручать
алӣн	досада
ама̄	папа
ама̄ка̄	бог
ама̄ка̄	брат
ама̄ка̄	дед
ама̄ка̄	дядя
ама̄ка̄	медведь
ама̄ка̄	прадед
ама̄ка̄	предок
ама̄ка̄вэ	дед
ама̄ка̄вэ	дядя
ама̄ка̄ды	дедовский
ама̄ка̄ма̄-мӣ	добыть
ама̄ка̄ма̄рэн	добыть
ама̄ка̄ӈи	дедовский
ама̄кавэ	брат
ама̄кака̄н	временно
ама̄я̄	сейчас
амака̄ка̄ды	временный
амака̄ка̄дывэ	временный
амака̄кӯн	вскоре
амака̄н	быстро
амака̄н	вскоре
амака̄н	на днях
амака̄н	недолго
амака̄н	нескоро
амака̄н	сейчас
амака̄н	скоро
амака̄нмэ	недолго
амакачан	поляна
амакси-мӣ	испытать
аманни-мӣ	запоздать
аманни-мӣ	прийти
аманнидя-мӣ	запаздывать
аманнин	затяжка
аманнича̄	запоздалый
аманнӣ-мӣ	опоздать
аманнӣдя-мӣ	опаздывать
аманнӣн	опоздание
аманя̄	скорее
аманя̄	скорей
амар	зад
амар	кузов
амар	тыл
амаргида̄дук	из-за
амаргида̄лӣ	сзади
амаргӯ	задний
амаргӯ	последний
амаргӯт	потом
амаргуптыт	потом
амаргӣ	нога
амаргӯ	конечный
амардӯ	позади
амардӯ	после
амардук	вслед
амардӯ	сзади
амардӯ	следом
амарӣла̄	позже
амарила̄	сзади
амарин	недавно
амарин	прошлый
амариткӣ гиркудя-мӣ	пятиться
амаритмар	позже
амарка̄н	медведь
амарка̄н	олень
амартула	очередь
амарулта	шеренга
амарултат	по очереди
амарултат	подряд
амарултат	поочерёдно
амарӯлта	толпа
амарӯлта	хвост
амарӯлтат	гуськом
амасӣкла̄де-мӣ	пятиться
амасӣкла̄син-мӣ	попятиться
амаскӣ	назад
амаскӣ	обратно
амаскӣ буде-мӣ	возвращать
амаскӣ бӯ-мӣ	возвратить
амаскӣ уӈ-мӣ	отослать
амасӣкла̄де-мӣ	отходить
амасӣкла̄син	отступление
амасӣкла̄син	отход
