evn	rus
Денис дёнчан аминми  харпукатчэнэван	Денис вспомнил, как шутил его папа
Диктэл, дэвунӈэктэл кэтэкел!	Как много ягод и грибов!
Дмитрий Апросимов тадук Николай Калитин ёкодыт дукувкил.	Дмитрий Апросимов и Николай Калитин пишут на якутском языке.
Донбасс  шахтёрилин шахталва экунди-да эӈитын манниӈна	шахтёрам  Донбасса нечем крепить шахты
Донбасс шахтёрилин шахталва  экунди-да эӈитын манниӈна	шахтёрам Донбасса нечем крепить шахты
Дорово! Би синдула мэн вопростуви эмэм.	Здравствуйте! Я к вам пришёл по личному вопросу.
Дорово! Мэнду!	Здравствуйте!
Доровуяс он?	Как здоровье?
Дорогин, хуркэкэн бинэ, хавамнил класситын итылин тэгэмэр  правительствован хуски ӈорчалчан	ещё юношей вступил Дорогин на путь борьбы  с царским правительством за дело рабочего класса
Дробичит-гу, картечит-гу?	Вам с дробью или картечью?
Дума кандидаттулӣн агитируйдя̄-мӣ	агитировать за кандидата в Думу
Дуннэду балдырил девгэл, фруктал консервалтын бихи.	Есть овощные и фруктовые консервы.
Дуннэдук балдырил экун аят балдывки?	Из овощей что хорошо растёт?
Дыгор баллэ будеми асия-хунатвэ	Дыгоры не захотели отдавать девушку
Дылив сот энудерэн.	Сильно болит голова.
Дювун дыгин комнатачи.	Занимаем четыре комнаты.
Дюдувар кэтэл-гу бихиллун?	Большая ли у вас семья?
Дюдуви амтылнюнми эвэдыт, хуӈтулнюн лучадыт.	Дома с родителями по-эвенкийски, с другими по-русски.
Дюдуви эма турэнди улгу чэмэчиӈнэнни?	Дома на каком языке разговариваете?
Дюктэ суругот. Дюктэ суругот.	Пойдём вместе.
Дюпты гукэл. Гевкал.	Повторите ещё раз.
Дюр килограммъя гадиӈав.	Куплю два килограмма.
Дюр няма грамм олговчо умуктая лококол.	Двести граммов яичного порошка.
Дюрдяричи патронила букэллу.	Дайте мне патроны 20 калибра.
Дюс ады комнатачи?	Сколько комнат занимаете?
Дялунча гиркилнунми хавалкитту хавалдяран	Дялунча со своими  товарищами работает в мастерской
Дян дючи хунатканми.	Моей дочери двенадцать.
Дян клахичи-гу?	Средняя школа, да?
Дян конвертъе букэл?	Можно мне 10 конвертов?
Егин частук.	С девяти утра.
Егорка, ургэпчут сунди дасивча бинэ, тэгэмкинду хуклэдечэн	Егорка  лежал под тяжёлой шубой
Емеля немумэли сэрэмэли лалбукали ковёргачиндули ӈэнэдечэн	Емеля шёл по мягкому желтоватому  мху, как по ковру
Женя  этэечимни ханӈундун эя-да эчэн гунэ	Женя ничего не ответил на вопрос  сторожа
Захар даригидала дулумнут илитчачан	Захар скромно стоял в  стороне
Захар эсикэкэн экумаду-вал городту банк управляимнидин хавалдяран	Захар теперь управляющий банком в каком-то городе
Заявлениен образец бихин?	Есть ли у вас образец заявления?
Зина таду-да соӈолчон	Зина сейчас же расплакалась
Зоя, Дмитрий балдывканнаван виноградвэ амтами, халдятчана гунчэн...	когда  Зоя попробовала выведенный Дмитрием виноград, она смущённо сказала...
Иван Иванович природа законилван сачан	Иван Иванович знал законы природы
Иван Иванович, разрешикал урумдымэрит ӈуӈнэтмэрит ӈэнэдэм	разрешите, Иван Иванович, проехать мне покороче, напрямик
Иван хавала гавчан	Иван был взят на работу
Иван хэгдылэ, кэтэвэ  илэлвэ дотавкила машинала куӈакарвэ эмэвчэн	Иван провёл ребят к большой  многоместной машине
Ивул айкал, амакан минэвэ вадеӈатын	Ивуль, спаси, скоро меня убьют
Ивул токила бэюрэн, мэнэкэн даривусинан	Ивул промышлял лося и  ушёл в сторону
Ивул эвэнкилвэ элэвэтын варэн	Ивуль всех эвенков прикончил
Игорь фронтадук дукувунма гача	Игорь  письмо с фронта получил
Иду бихин библиотека?	Где здесь библиотека?
Иду дюгадиӈас?	Где будешь кочевать летом?
Иду эткэн бэюр (мэӈэтул)?	Где сейчас дикие олени?
Идук эмэнны?	Ты откуда приехал?
Идук эмэрэс?	Вы откуда приехали?
Измайловъя  дюга-да, тугэ-дэ дачадувар бидеӈкитын	Измайловы жили на даче и летом, и  зимой
Икэллу!	Войдите!
Илан классмакту эвэдыт, тадук лучадыт.	До третьего класса на эвенкийском, потом на русском.
Иланма.	Три.
Илья тыкулчан: «Си минэ ӈит-кэ таӈдянни?»	Илья обиделся: «За кого  ты меня принимаешь?»
Интернатту лучадыт турэтчэӈнэрэв.	В интернате обычно говорим на русском языке.
Интернатту он улгучэмэчиӈнэрэс? Интернатту он турэтчэӈнэрэс?	В интернате на каком языке разговариваете?
Инэӈмэн би ухачира бихим.	Сегодня я чувствую себя неважно.
Инэӈмэн энулим.	Сегодня заболел.
Инӈактачилдук сулакил, чатарал, некэл, улукил, ондатрал, делэкил, солоӈгол бихи.	Из пушных водятся лисы, песцы, соболи, белки, ондатры, горностаи, колонки.
Ира эва-вал  амэдуви чамбачан	Ира что-то пробормотала во сне
Иргэчивэ. Дяличива.	Умного.
Ирка,  дулбун, хактанчэдерэн	Ирка, глупая, как расхохочется
Ирэмэдел мундулэ эмэрэ.	К нам пожаловали гости.
Каспаров давдыдярилван упкат  садерэ	все знают о победах Каспарова
Катя  кэтэт ханӈуктачан нуӈардутын интернатту куӈакар он индерилитын	Катя жадно  расспрашивала, как живут у них ребята в интернате
Катя Ленава ханӈунди ичэтчэн	Катя вопросительно посмотрела на Лену
Катя маннит, горово ачан	Катя спала крепко и долго
Катя окин-да сачан нуӈан агиндун чука югту балдыридукин химатмарит балдыриван	Катя уже знала, что в её тайге трава растёт быстрее, чем на юге
Кеша мола дагат дагамачан	Кеша подошёл к  дереву поближе
Кеша ороннун даран тэгэчэн	Кеша сел рядом  с оленем
Кеша татыча бичэн элэкэс арчалдынду таргачир минутал  окин-да авады-вал мудурэчил бисилитын	Кеша уже привык к тому, что при  первой встрече такие минуты всегда связаны с какой-нибудь хитростью
Килдынакан-мата  нуӈанман давдыран	Кильдынакан-богатырь его поборол
Килограм калтакаян лококол.	Взвесьте полкило.
Килограм олло таманин дюр мухок.	Килограмм рыбы стоит двести рублей.
Килограмм олло адычи?	Сколько стоит килограмм рыбы?
Кира долбо эрут ачан	ночью Кира спала плохо
Кирилл нуӈан гатактэдин дивэдечэн	Кирилл  удивлялся её храбрости
Киӈнэт гукчанивкил-гу?	А как лыжные соревнования?
Книгал кэтэ-гу?	Много ли книг?
Колобое, ария, колбасая гадиӈав.	Куплю хлеб, масло, колбасу.
Коля аран дариски микчанэн	Коля  едва успел отскочить
Коля столтыки тэгэрэн тадук адыва-вал  строчкалва хаврэн	Коля присел к столу и приписал ещё несколько строчек
Командировкала эмэм.	Я приехал в командировку.
Конституция — Россия сотку законин	Конституция — основной закон России
Костя  тэпкэстэви-мэт эделин, нуӈан дылин, хутакачанӈачинди ӈопчут шинельди хакупча	не  успел Костя и вскрикнуть, как голова его, точно в мешке, оказалась окутанной  душной шинелью
Костя шалаштула нёгут эмэчэн	Костя  первым пришёл к шалашу
Коӈнорина.	Чёрного.
Краснэй Армия, Хулама Армия	Красная Армия
Куӈакар эма турэнди алагувкил?	На каком языке обучаются дети?
Кэ, гиркилдыгат.	Давайте дружить.
Кэ, игэт.	Давай зайдём.
Кэтэ таӈчава. Баран таӈчава.	Начитанного.
Кэтэ-гу некэ тугэ бичэ?	Много соболя было этой зимой?
Кэтэвэ сарива. Баран сарива.	Сведущего.
Лапин Рюмкиннун тоӈно алагувумнитын, хавалилдымнитын, гирки Кротов кэтэт  бэлэчэн митӈи колхозты хозяйствон такусивдяридун	верный ученик и соратник  Лапина и Рюмкина, товарищ Кротов много помог делу восстановления хозяйства  нашего колхоза
Лариса Витядук валенкалван лукчан	Лариса сняла с Вити валенки
Лариса алагувумнива ге калтакаду — дюрду анӈаниду экзамендула итыгачан	Лариса  подготовила своего ученика к экзамену за полтора — два года
Лариса, Мишанун улгучэмэткэл. Эдян-ка улгучэмэтчэм	Лариса, поговори с Мишей. — А что же, и поговорю
Лев Толстой дукуналва̄н умӣвӯн	собрание сочинений Льва Толстого
Лена конвертава каситчан	Лена разорвала  конверт
Лена маӈичачан, маӈичачан, тадук соӈолчон	Лена крепилась, крепилась, да и  заплакала
Ленин проспектун бидем.	Живу на проспекте Ленина.
Лида хэгдывэ хавалкираван  Валера окин-да мэниклэви ичэтчэӈкин	Валера постоянно видел перед собой  огромную трудоспособность Лиды
Лиза  дукувунма таӈдями этэдерэкин, куӈакар класстула ичэтын	ребята вошли в  класс, когда Лиза уже дочитала письмо
Лиза улгучэнчэн садтуви дивэмэлвэ, аямамалва плодылва аракукан балдывканнэливи	Лиза рассказала о постепенном выращивании в своём саду необыкновенных, чудесных плодов
Лиза ӈалэлин умэкэчэрин аран матавуӈкитын	пальцы на  руках у Лизы едва разгибались
Ломоносов памятниктун Аркадий туринчэн	у памятника Ломоносову Аркадий  остановился
Лучады турэнду переводтавча ёкоды, эвэды книгал бихи-гу?	Есть ли в переводе на русский язык якутские и эвенкийские книги?
Лучады, ёкоды книгал бихи, Север тэгэлин турэрдитын дукувча угукун (ахакан).	Есть русская и якутская литература, на языках северных народов книг мало.
Лёня умукэнмэ  унтави такудями этэчэн	Лёня закончил ремонтировать один ичиг
Лёняду  халдявси очан нуӈан тыкин мэнӈиви гуннэви эденэлин ора	Лёне стало стыдно,  что он теперь не выполнит своего слова
Ма, тэтымкэкэл.	Возьмите, примерьте.
Магазиндула он суруӈнэм?	Как пройти в магазин?
Майя стол  авсадукин бумагаду аямамат чакиливчавэ коӈномо колобо мисиктэвэн урисинан	Майя  достала из стола аккуратно завёрнутый в бумагу кусок чёрного хлеба
Марик  идэгэлвэ дариски ӈэнэвуӈкин	Марик относил вещи в сторонку
Мария  Прокопьевна, зеркалогачинду мэнӈиви ханянми муду ичэтчэнэ, ӈэрипчувэ мувэ сот  умдячан	Мария Прокопьевна жадно пила светлую воду, любуясь в ней, как в  зеркале, своим отражением
Марк аракукан амаски чагорочан	Марк  осторожно отступил назад
Марк гетки даригидатки дылви хоролисинмуканэн	Марк  повернул голову в другую сторону
Маркаду Кеша бадерин эчэн ая биси	Марку был неприятен отказ Кеши
Маркин  хавамниды класс давдынман тэдедечэн	Маркин верил в победу рабочего класса
Марфа  хэкулчэли асфальттули немумэлди тапочкалди эюмкунди тудечэн	Марфа легко  ступала в мягких тапочках по разогретому асфальту
Марфа дюр сагдыл бэел, албир улбумэт онёричил  халатычил, амардуктын куӈакарвэ иливканчан	Марфа поставила ребят вслед за  двумя пожилыми мужчинами в широких полосатых халатах
Маша нонон бадячан гадями	Маша сначала отказывалась взять
Мевандукпи аява эетчэм!	Поздравляю от души!
Мевандукпи бэлэтнэлис пасибадям!	От души благодарен за помощь.
Мевандукпи улинэлис пасибадям!	От души благодарен за угощение.
Междунаро̄днай аса̄ды тырганӣ	Международный женский день
Междунаро̄днай аса̄ды̄ тырганӣ	Международный женский день
Мила куӈакарвэ хэгдылэ дептылэдылэ магазиндула эмэвчэн	Мила привела ребят в большой продовольственный магазин
Мила куӈакарвэ эдук даран бисилэ промтоварнайдула  магазиндула сурувчэн	отсюда Мила провела ребят в соседний промтоварный  магазин
Минду укумны нада.	Мне нужно молоко.
Министерствола он ӈэнэдем?	Как пройти в министерство?
Министр гэрбин он?	Как зовут министра?
Министрил кабинетын	Кабинет министров
Миннюн эвэдыт улгучэмэткэл.	Говорите со мной по-эвенкийски.
Минӈэчин анӈаничива. Минэ урэтвэ.	Моего возраста.
Миронов  хавамнидук хавамнила дюрвэ часилва гиркуӈкин	часа два ходил Миронов от  работника к работнику
Миронов тармакла илмакта советскай властигидадун омалчачан	Миронов  сразу стал на сторону молодой советской власти
Михаил  Тимофеевич таӈдями бачан	Михаил Тимофеевич отказался читать
Миша, эмэкэл миндулэ шашкалди эвидэвун	Миша,  приходи ко мне поиграть в шашки
Москва гэрбичи канал дяпкадун хэгдымэмэ гулэ  илитчаран	на берегу канала имени Москвы стоит огромное здание
Москваду газеталва  газетнаилдула киоскилдула дюгувкил	в Москве газеты развозят в газетные  киоски
Москвадук дэгчэлвэ пассажирилва ӈэнэвуктэн  начальникин комнаталан идэтын эетчэрэ	пассажиров, прилетевших из Москвы,  просят зайти в комнату начальника перевозок
Москвала илэл дэгдерэ,  тадук поездалди, машиналди, пароходылди ирэмэдэвэр ӈэнэдерэ	в Москву люди  летят и едут в гости на поездах, машинах и пароходах
Московскай народнай банк дамгады фабрикантнун Богдановнун  революция булэсэлдун мэӈурвэ будеӈкитын	Московский народный банк и табачный  фабрикант Богданов снабжали деньгами врагов революции
Мунду мэнӈивун командавун бихин.	Мы имеем свою команду.
Надя Тургеневӈи дукуналватын адыратыкин-да таӈивандечэн	Надя  перечитывала произведения Тургенева несколько раз
Наташа, капургачавэ линейкава ӈалидяна, акиндуви улгучэндэви туксачан	Наташа сама прибежала со  сломанной линейкой, чтобы сказать брату
